snr,cqi,ele_angle,mcs
-7.6838174795847625,4.0,45.0,5
-7.6838174795847625,4.0,50.0,5
-7.6838174795847625,4.0,55.0,5
-7.6838174795847625,4.0,60.0,5
-7.6838174795847625,4.0,65.0,5
-7.6838174795847625,4.0,70.0,6
-7.6838174795847625,5.0,0.0,4
-7.6838174795847625,5.0,5.0,4
-7.6838174795847625,5.0,10.0,5
-7.6838174795847625,5.0,15.0,5
-7.6838174795847625,5.0,20.0,5
-7.6838174795847625,5.0,25.0,5
-7.6838174795847625,5.0,30.0,5
-7.6838174795847625,5.0,35.0,5
-7.6838174795847625,5.0,40.0,5
-7.6838174795847625,5.0,45.0,5
-7.6838174795847625,5.0,50.0,6
-7.6838174795847625,5.0,55.0,6
-7.6838174795847625,5.0,60.0,6
-7.6838174795847625,5.0,65.0,6
-7.6838174795847625,5.0,70.0,6
-7.6838174795847625,6.0,0.0,4
-7.6838174795847625,6.0,5.0,5
-7.6838174795847625,6.0,10.0,5
-7.6838174795847625,6.0,15.0,5
-7.6838174795847625,6.0,20.0,5
-7.6838174795847625,6.0,25.0,5
-7.6838174795847625,6.0,30.0,5
-7.6838174795847625,6.0,35.0,5
-7.6838174795847625,6.0,40.0,5
-7.6838174795847625,6.0,45.0,6
-7.6838174795847625,6.0,50.0,6
-7.6838174795847625,6.0,55.0,7
-7.6838174795847625,6.0,60.0,7
-7.6838174795847625,6.0,65.0,7
-7.6838174795847625,6.0,70.0,7
-7.6838174795847625,7.0,0.0,4
-7.6838174795847625,7.0,5.0,5
-7.6838174795847625,7.0,10.0,5
-7.6838174795847625,7.0,15.0,5
-7.6838174795847625,7.0,20.0,5
-7.6838174795847625,7.0,25.0,5
-7.6838174795847625,7.0,30.0,5
-7.6838174795847625,7.0,35.0,5
-7.6838174795847625,7.0,40.0,6
-7.6838174795847625,7.0,45.0,6
-7.6838174795847625,7.0,50.0,7
-7.6838174795847625,7.0,55.0,7
-7.6838174795847625,7.0,60.0,7
-7.6838174795847625,7.0,65.0,7
-7.6838174795847625,7.0,70.0,7
-7.6838174795847625,8.0,0.0,5
-7.6838174795847625,8.0,5.0,5
-7.6838174795847625,8.0,10.0,5
-7.6838174795847625,8.0,15.0,5
-7.6838174795847625,8.0,20.0,5
-7.6838174795847625,8.0,25.0,5
-7.6838174795847625,8.0,30.0,5
-7.6838174795847625,8.0,35.0,6
-7.6838174795847625,8.0,40.0,6
-7.6838174795847625,8.0,45.0,6
-7.6838174795847625,8.0,50.0,7
-7.6838174795847625,8.0,55.0,7
-7.6838174795847625,8.0,60.0,7
-7.6838174795847625,8.0,65.0,7
-7.6838174795847625,8.0,70.0,7
-7.6838174795847625,9.0,0.0,5
-7.6838174795847625,9.0,5.0,5
-7.6838174795847625,9.0,10.0,5
-7.6838174795847625,9.0,15.0,5
-7.6838174795847625,9.0,20.0,5
-7.6838174795847625,9.0,25.0,6
-7.6838174795847625,9.0,30.0,6
-7.6838174795847625,9.0,35.0,6
-7.6838174795847625,9.0,40.0,6
-7.6838174795847625,9.0,45.0,6
-7.6838174795847625,9.0,50.0,7
-7.6838174795847625,9.0,55.0,7
-7.6838174795847625,9.0,60.0,7
-7.6838174795847625,9.0,65.0,8
-7.6838174795847625,9.0,70.0,8
-7.6838174795847625,10.0,0.0,5
-7.6838174795847625,10.0,5.0,5
-7.6838174795847625,10.0,10.0,5
-7.6838174795847625,10.0,15.0,5
-7.6838174795847625,10.0,20.0,6
-7.6838174795847625,10.0,25.0,6
-7.6838174795847625,10.0,30.0,6
-7.6838174795847625,10.0,35.0,7
-7.6838174795847625,10.0,40.0,7
-7.6838174795847625,10.0,45.0,7
-7.6838174795847625,10.0,50.0,7
-7.6838174795847625,10.0,55.0,7
-7.6838174795847625,10.0,60.0,7
-7.6838174795847625,10.0,65.0,8
-7.6838174795847625,10.0,70.0,8
-7.483817479584763,0.0,0.0,3
-7.483817479584763,0.0,5.0,3
-7.483817479584763,0.0,10.0,3
-7.483817479584763,0.0,15.0,3
-7.483817479584763,0.0,20.0,3
-7.483817479584763,0.0,25.0,4
-7.483817479584763,0.0,30.0,4
-7.483817479584763,0.0,35.0,5
-7.483817479584763,0.0,40.0,5
-7.483817479584763,0.0,45.0,5
-7.483817479584763,0.0,50.0,5
-7.483817479584763,0.0,55.0,6
-7.483817479584763,0.0,60.0,6
-7.483817479584763,0.0,65.0,6
-7.483817479584763,0.0,70.0,7
-7.483817479584763,1.0,0.0,2
-7.483817479584763,1.0,5.0,2
-7.483817479584763,1.0,10.0,2
-7.483817479584763,1.0,15.0,3
-7.483817479584763,1.0,20.0,3
-7.483817479584763,1.0,25.0,4
-7.483817479584763,1.0,30.0,4
-7.483817479584763,1.0,35.0,5
-7.483817479584763,1.0,40.0,4
-7.483817479584763,1.0,45.0,4
-7.483817479584763,1.0,50.0,4
-7.483817479584763,1.0,55.0,4
-7.483817479584763,1.0,60.0,4
-7.483817479584763,1.0,65.0,4
-7.483817479584763,1.0,70.0,6
-7.483817479584763,2.0,0.0,2
-7.483817479584763,2.0,5.0,2
-7.483817479584763,2.0,10.0,2
-7.483817479584763,2.0,15.0,3
-7.483817479584763,2.0,20.0,4
-7.483817479584763,2.0,25.0,4
-7.483817479584763,2.0,30.0,4
-7.483817479584763,2.0,35.0,5
-7.483817479584763,2.0,40.0,4
-7.483817479584763,2.0,45.0,4
-7.483817479584763,2.0,50.0,3
-7.483817479584763,2.0,55.0,3
-7.483817479584763,2.0,60.0,3
-7.483817479584763,2.0,65.0,4
-7.483817479584763,2.0,70.0,6
-7.483817479584763,3.0,0.0,3
-7.483817479584763,3.0,5.0,3
-7.483817479584763,3.0,10.0,3
-7.483817479584763,3.0,15.0,4
-7.483817479584763,3.0,20.0,4
-7.483817479584763,3.0,25.0,4
-7.483817479584763,3.0,30.0,5
-7.483817479584763,3.0,35.0,5
-7.483817479584763,3.0,40.0,4
-7.483817479584763,3.0,45.0,4
-7.483817479584763,3.0,50.0,4
-7.483817479584763,3.0,55.0,4
-7.483817479584763,3.0,60.0,4
-7.483817479584763,3.0,65.0,4
-7.483817479584763,3.0,70.0,6
-7.483817479584763,4.0,0.0,3
-7.483817479584763,4.0,5.0,4
-7.483817479584763,4.0,10.0,4
-7.483817479584763,4.0,15.0,4
-7.483817479584763,4.0,20.0,4
-7.483817479584763,4.0,25.0,5
-7.483817479584763,4.0,30.0,5
-7.483817479584763,4.0,35.0,5
-7.483817479584763,4.0,40.0,5
-7.483817479584763,4.0,45.0,5
-7.483817479584763,4.0,50.0,5
-7.483817479584763,4.0,55.0,5
-7.483817479584763,4.0,60.0,5
-7.483817479584763,4.0,65.0,5
-7.483817479584763,4.0,70.0,6
-7.483817479584763,5.0,0.0,4
-7.483817479584763,5.0,5.0,4
-7.483817479584763,5.0,10.0,5
-7.483817479584763,5.0,15.0,5
-7.483817479584763,5.0,20.0,5
-7.483817479584763,5.0,25.0,5
-7.483817479584763,5.0,30.0,5
-7.483817479584763,5.0,35.0,5
-7.483817479584763,5.0,40.0,5
-7.483817479584763,5.0,45.0,5
-7.483817479584763,5.0,50.0,6
-7.483817479584763,5.0,55.0,6
-7.483817479584763,5.0,60.0,6
-7.483817479584763,5.0,65.0,6
-7.483817479584763,5.0,70.0,6
-7.483817479584763,6.0,0.0,4
-7.483817479584763,6.0,5.0,5
-7.483817479584763,6.0,10.0,5
-7.483817479584763,6.0,15.0,5
-7.483817479584763,6.0,20.0,5
-7.483817479584763,6.0,25.0,5
-7.483817479584763,6.0,30.0,5
-7.483817479584763,6.0,35.0,5
-7.483817479584763,6.0,40.0,5
-7.483817479584763,6.0,45.0,6
-7.483817479584763,6.0,50.0,6
-7.483817479584763,6.0,55.0,7
-7.483817479584763,6.0,60.0,7
-7.483817479584763,6.0,65.0,7
-7.483817479584763,6.0,70.0,7
-7.483817479584763,7.0,0.0,5
-7.483817479584763,7.0,5.0,5
-7.483817479584763,7.0,10.0,5
-7.483817479584763,7.0,15.0,5
-7.483817479584763,7.0,20.0,5
-7.483817479584763,7.0,25.0,5
-7.483817479584763,7.0,30.0,5
-7.483817479584763,7.0,35.0,5
-7.483817479584763,7.0,40.0,6
-7.483817479584763,7.0,45.0,6
-7.483817479584763,7.0,50.0,7
-7.483817479584763,7.0,55.0,7
-7.483817479584763,7.0,60.0,7
-7.483817479584763,7.0,65.0,7
-7.483817479584763,7.0,70.0,7
-7.483817479584763,8.0,0.0,5
-7.483817479584763,8.0,5.0,5
-7.483817479584763,8.0,10.0,5
-7.483817479584763,8.0,15.0,5
-7.483817479584763,8.0,20.0,5
-7.483817479584763,8.0,25.0,5
-7.483817479584763,8.0,30.0,5
-7.483817479584763,8.0,35.0,6
-7.483817479584763,8.0,40.0,6
-7.483817479584763,8.0,45.0,6
-7.483817479584763,8.0,50.0,7
-7.483817479584763,8.0,55.0,7
-7.483817479584763,8.0,60.0,7
-7.483817479584763,8.0,65.0,8
-7.483817479584763,8.0,70.0,7
-7.483817479584763,9.0,0.0,5
-7.483817479584763,9.0,5.0,5
-7.483817479584763,9.0,10.0,5
-7.483817479584763,9.0,15.0,5
-7.483817479584763,9.0,20.0,5
-7.483817479584763,9.0,25.0,6
-7.483817479584763,9.0,30.0,6
-7.483817479584763,9.0,35.0,6
-7.483817479584763,9.0,40.0,6
-7.483817479584763,9.0,45.0,7
-7.483817479584763,9.0,50.0,7
-7.483817479584763,9.0,55.0,7
-7.483817479584763,9.0,60.0,7
-7.483817479584763,9.0,65.0,8
-7.483817479584763,9.0,70.0,8
-7.483817479584763,10.0,0.0,5
-7.483817479584763,10.0,5.0,5
-7.483817479584763,10.0,10.0,5
-7.483817479584763,10.0,15.0,5
-7.483817479584763,10.0,20.0,6
-7.483817479584763,10.0,25.0,6
-7.483817479584763,10.0,30.0,6
-7.483817479584763,10.0,35.0,7
-7.483817479584763,10.0,40.0,7
-7.483817479584763,10.0,45.0,7
-7.483817479584763,10.0,50.0,7
-7.483817479584763,10.0,55.0,7
-7.483817479584763,10.0,60.0,8
-7.483817479584763,10.0,65.0,8
-7.483817479584763,10.0,70.0,8
-7.283817479584764,0.0,0.0,3
-7.283817479584764,0.0,5.0,3
-7.283817479584764,0.0,10.0,3
-7.283817479584764,0.0,15.0,3
-7.283817479584764,0.0,20.0,4
-7.283817479584764,0.0,25.0,4
-7.283817479584764,0.0,30.0,4
-7.283817479584764,0.0,35.0,5
-7.283817479584764,0.0,40.0,5
-7.283817479584764,0.0,45.0,5
-7.283817479584764,0.0,50.0,6
-7.283817479584764,0.0,55.0,6
-7.283817479584764,0.0,60.0,6
-7.283817479584764,0.0,65.0,6
-7.283817479584764,0.0,70.0,7
-7.283817479584764,1.0,0.0,2
-7.283817479584764,1.0,5.0,2
-7.283817479584764,1.0,10.0,2
-7.283817479584764,1.0,15.0,3
-7.283817479584764,1.0,20.0,4
-7.283817479584764,1.0,25.0,4
-7.283817479584764,1.0,30.0,4
-7.283817479584764,1.0,35.0,5
-7.283817479584764,1.0,40.0,4
-7.283817479584764,1.0,45.0,4
-7.283817479584764,1.0,50.0,4
-7.283817479584764,1.0,55.0,4
-7.283817479584764,1.0,60.0,4
-7.283817479584764,1.0,65.0,4
-7.283817479584764,1.0,70.0,6
-7.283817479584764,2.0,0.0,2
-7.283817479584764,2.0,5.0,2
-7.283817479584764,2.0,10.0,2
-7.283817479584764,2.0,15.0,3
-7.283817479584764,2.0,20.0,4
-7.283817479584764,2.0,25.0,4
-7.283817479584764,2.0,30.0,5
-7.283817479584764,2.0,35.0,5
-7.283817479584764,2.0,40.0,4
-7.283817479584764,2.0,45.0,4
-7.283817479584764,2.0,50.0,3
-7.283817479584764,2.0,55.0,3
-7.283817479584764,2.0,60.0,3
-7.283817479584764,2.0,65.0,4
-7.283817479584764,2.0,70.0,6
-7.283817479584764,3.0,0.0,3
-7.283817479584764,3.0,5.0,3
-7.283817479584764,3.0,10.0,3
-7.283817479584764,3.0,15.0,4
-7.283817479584764,3.0,20.0,4
-7.283817479584764,3.0,25.0,4
-7.283817479584764,3.0,30.0,5
-7.283817479584764,3.0,35.0,5
-7.283817479584764,3.0,40.0,4
-7.283817479584764,3.0,45.0,4
-7.283817479584764,3.0,50.0,4
-7.283817479584764,3.0,55.0,4
-7.283817479584764,3.0,60.0,4
-7.283817479584764,3.0,65.0,5
-7.283817479584764,3.0,70.0,6
-7.283817479584764,4.0,0.0,3
-7.283817479584764,4.0,5.0,4
-7.283817479584764,4.0,10.0,4
-7.283817479584764,4.0,15.0,4
-7.283817479584764,4.0,20.0,4
-7.283817479584764,4.0,25.0,5
-7.283817479584764,4.0,30.0,5
-7.283817479584764,4.0,35.0,5
-7.283817479584764,4.0,40.0,5
-7.283817479584764,4.0,45.0,5
-7.283817479584764,4.0,50.0,5
-7.283817479584764,4.0,55.0,5
-7.283817479584764,4.0,60.0,5
-7.283817479584764,4.0,65.0,5
-7.283817479584764,4.0,70.0,6
-7.283817479584764,5.0,0.0,4
-7.283817479584764,5.0,5.0,4
-7.283817479584764,5.0,10.0,5
-7.283817479584764,5.0,15.0,5
-7.283817479584764,5.0,20.0,5
-7.283817479584764,5.0,25.0,5
-7.283817479584764,5.0,30.0,5
-7.283817479584764,5.0,35.0,5
-7.283817479584764,5.0,40.0,5
-7.283817479584764,5.0,45.0,5
-7.283817479584764,5.0,50.0,6
-7.283817479584764,5.0,55.0,6
-7.283817479584764,5.0,60.0,6
-7.283817479584764,5.0,65.0,6
-7.283817479584764,5.0,70.0,6
-7.283817479584764,6.0,0.0,4
-7.283817479584764,6.0,5.0,5
-7.283817479584764,6.0,10.0,5
-7.283817479584764,6.0,15.0,5
-7.283817479584764,6.0,20.0,5
-7.283817479584764,6.0,25.0,5
-7.283817479584764,6.0,30.0,5
-7.283817479584764,6.0,35.0,5
-7.283817479584764,6.0,40.0,5
-7.283817479584764,6.0,45.0,6
-7.283817479584764,6.0,50.0,6
-7.283817479584764,6.0,55.0,7
-7.283817479584764,6.0,60.0,7
-7.283817479584764,6.0,65.0,7
-7.283817479584764,6.0,70.0,6
-7.283817479584764,7.0,0.0,5
-7.283817479584764,7.0,5.0,5
-7.283817479584764,7.0,10.0,5
-7.283817479584764,7.0,15.0,5
-7.283817479584764,7.0,20.0,5
-7.283817479584764,7.0,25.0,5
-7.283817479584764,7.0,30.0,5
-7.283817479584764,7.0,35.0,5
-7.283817479584764,7.0,40.0,6
-7.283817479584764,7.0,45.0,6
-7.283817479584764,7.0,50.0,7
-7.283817479584764,7.0,55.0,7
-7.283817479584764,7.0,60.0,8
-7.283817479584764,7.0,65.0,8
-7.283817479584764,7.0,70.0,7
-7.283817479584764,8.0,0.0,5
-7.283817479584764,8.0,5.0,5
-7.283817479584764,8.0,10.0,5
-7.283817479584764,8.0,15.0,5
-7.283817479584764,8.0,20.0,5
-7.283817479584764,8.0,25.0,5
-7.283817479584764,8.0,30.0,5
-7.283817479584764,8.0,35.0,6
-7.283817479584764,8.0,40.0,6
-7.283817479584764,8.0,45.0,6
-7.283817479584764,8.0,50.0,7
-7.283817479584764,8.0,55.0,7
-7.283817479584764,8.0,60.0,8
-7.283817479584764,8.0,65.0,8
-7.283817479584764,8.0,70.0,7
-7.283817479584764,9.0,0.0,5
-7.283817479584764,9.0,5.0,5
-7.283817479584764,9.0,10.0,5
-7.283817479584764,9.0,15.0,5
-7.283817479584764,9.0,20.0,5
-7.283817479584764,9.0,25.0,6
-7.283817479584764,9.0,30.0,6
-7.283817479584764,9.0,35.0,6
-7.283817479584764,9.0,40.0,6
-7.283817479584764,9.0,45.0,7
-7.283817479584764,9.0,50.0,7
-7.283817479584764,9.0,55.0,7
-7.283817479584764,9.0,60.0,7
-7.283817479584764,9.0,65.0,8
-7.283817479584764,9.0,70.0,8
-7.283817479584764,10.0,0.0,5
-7.283817479584764,10.0,5.0,5
-7.283817479584764,10.0,10.0,5
-7.283817479584764,10.0,15.0,5
-7.283817479584764,10.0,20.0,6
-7.283817479584764,10.0,25.0,6
-7.283817479584764,10.0,30.0,6
-7.283817479584764,10.0,35.0,7
-7.283817479584764,10.0,40.0,7
-7.283817479584764,10.0,45.0,7
-7.283817479584764,10.0,50.0,7
-7.283817479584764,10.0,55.0,7
-7.283817479584764,10.0,60.0,8
-7.283817479584764,10.0,65.0,8
-7.283817479584764,10.0,70.0,8
-7.083817479584765,0.0,0.0,3
-7.083817479584765,0.0,5.0,3
-7.083817479584765,0.0,10.0,3
-7.083817479584765,0.0,15.0,3
-7.083817479584765,0.0,20.0,4
-7.083817479584765,0.0,25.0,4
-7.083817479584765,0.0,30.0,4
-7.083817479584765,0.0,35.0,5
-7.083817479584765,0.0,40.0,5
-7.083817479584765,0.0,45.0,5
-7.083817479584765,0.0,50.0,6
-7.083817479584765,0.0,55.0,6
-7.083817479584765,0.0,60.0,6
-7.083817479584765,0.0,65.0,7
-7.083817479584765,0.0,70.0,7
-7.083817479584765,1.0,0.0,2
-7.083817479584765,1.0,5.0,2
-7.083817479584765,1.0,10.0,2
-7.083817479584765,1.0,15.0,3
-7.083817479584765,1.0,20.0,4
-7.083817479584765,1.0,25.0,4
-7.083817479584765,1.0,30.0,4
-7.083817479584765,1.0,35.0,5
-7.083817479584765,1.0,40.0,4
-7.083817479584765,1.0,45.0,4
-7.083817479584765,1.0,50.0,4
-7.083817479584765,1.0,55.0,4
-7.083817479584765,1.0,60.0,4
-7.083817479584765,1.0,65.0,5
-7.083817479584765,1.0,70.0,7
-7.083817479584765,2.0,0.0,2
-7.083817479584765,2.0,5.0,2
-7.083817479584765,2.0,10.0,3
-7.083817479584765,2.0,15.0,3
-7.083817479584765,2.0,20.0,4
-7.083817479584765,2.0,25.0,4
-7.083817479584765,2.0,30.0,5
-7.083817479584765,2.0,35.0,5
-7.083817479584765,2.0,40.0,4
-7.083817479584765,2.0,45.0,4
-7.083817479584765,2.0,50.0,3
-7.083817479584765,2.0,55.0,3
-7.083817479584765,2.0,60.0,3
-7.083817479584765,2.0,65.0,4
-7.083817479584765,2.0,70.0,6
-7.083817479584765,3.0,0.0,3
-7.083817479584765,3.0,5.0,3
-7.083817479584765,3.0,10.0,3
-7.083817479584765,3.0,15.0,4
-7.083817479584765,3.0,20.0,4
-7.083817479584765,3.0,25.0,4
-7.083817479584765,3.0,30.0,5
-7.083817479584765,3.0,35.0,5
-7.083817479584765,3.0,40.0,5
-7.083817479584765,3.0,45.0,4
-7.083817479584765,3.0,50.0,4
-7.083817479584765,3.0,55.0,4
-7.083817479584765,3.0,60.0,4
-7.083817479584765,3.0,65.0,5
-7.083817479584765,3.0,70.0,6
-7.083817479584765,4.0,0.0,3
-7.083817479584765,4.0,5.0,4
-7.083817479584765,4.0,10.0,4
-7.083817479584765,4.0,15.0,4
-7.083817479584765,4.0,20.0,5
-7.083817479584765,4.0,25.0,5
-7.083817479584765,4.0,30.0,5
-7.083817479584765,4.0,35.0,5
-7.083817479584765,4.0,40.0,5
-7.083817479584765,4.0,45.0,5
-7.083817479584765,4.0,50.0,5
-7.083817479584765,4.0,55.0,5
-7.083817479584765,4.0,60.0,5
-7.083817479584765,4.0,65.0,6
-7.083817479584765,4.0,70.0,6
-7.083817479584765,5.0,0.0,4
-7.083817479584765,5.0,5.0,5
-7.083817479584765,5.0,10.0,5
-7.083817479584765,5.0,15.0,5
-7.083817479584765,5.0,20.0,5
-7.083817479584765,5.0,25.0,5
-7.083817479584765,5.0,30.0,5
-7.083817479584765,5.0,35.0,5
-7.083817479584765,5.0,40.0,5
-7.083817479584765,5.0,45.0,5
-7.083817479584765,5.0,50.0,6
-7.083817479584765,5.0,55.0,6
-7.083817479584765,5.0,60.0,6
-7.083817479584765,5.0,65.0,6
-7.083817479584765,5.0,70.0,6
-7.083817479584765,6.0,0.0,4
-7.083817479584765,6.0,5.0,5
-7.083817479584765,6.0,10.0,5
-7.083817479584765,6.0,15.0,5
-7.083817479584765,6.0,20.0,5
-7.083817479584765,6.0,25.0,5
-7.083817479584765,6.0,30.0,5
-7.083817479584765,6.0,35.0,5
-7.083817479584765,6.0,40.0,5
-7.083817479584765,6.0,45.0,6
-7.083817479584765,6.0,50.0,6
-7.083817479584765,6.0,55.0,7
-7.083817479584765,6.0,60.0,7
-7.083817479584765,6.0,65.0,7
-7.083817479584765,6.0,70.0,6
-7.083817479584765,7.0,0.0,5
-7.083817479584765,7.0,5.0,5
-7.083817479584765,7.0,10.0,5
-7.083817479584765,7.0,15.0,5
-7.083817479584765,7.0,20.0,5
-7.083817479584765,7.0,25.0,5
-7.083817479584765,7.0,30.0,5
-7.083817479584765,7.0,35.0,5
-7.083817479584765,7.0,40.0,6
-7.083817479584765,7.0,45.0,6
-7.083817479584765,7.0,50.0,7
-7.083817479584765,7.0,55.0,7
-7.083817479584765,7.0,60.0,8
-7.083817479584765,7.0,65.0,8
-7.083817479584765,7.0,70.0,7
-7.083817479584765,8.0,0.0,5
-7.083817479584765,8.0,5.0,5
-7.083817479584765,8.0,10.0,5
-7.083817479584765,8.0,15.0,5
-7.083817479584765,8.0,20.0,5
-7.083817479584765,8.0,25.0,5
-7.083817479584765,8.0,30.0,5
-7.083817479584765,8.0,35.0,6
-7.083817479584765,8.0,40.0,6
-7.083817479584765,8.0,45.0,6
-7.083817479584765,8.0,50.0,7
-7.083817479584765,8.0,55.0,7
-7.083817479584765,8.0,60.0,8
-7.083817479584765,8.0,65.0,8
-7.083817479584765,8.0,70.0,7
-7.083817479584765,9.0,0.0,5
-7.083817479584765,9.0,5.0,5
-7.083817479584765,9.0,10.0,5
-7.083817479584765,9.0,15.0,5
-7.083817479584765,9.0,20.0,6
-7.083817479584765,9.0,25.0,6
-7.083817479584765,9.0,30.0,6
-7.083817479584765,9.0,35.0,6
-7.083817479584765,9.0,40.0,6
-7.083817479584765,9.0,45.0,7
-7.083817479584765,9.0,50.0,7
-7.083817479584765,9.0,55.0,7
-7.083817479584765,9.0,60.0,8
-7.083817479584765,9.0,65.0,8
-7.083817479584765,9.0,70.0,8
-7.083817479584765,10.0,0.0,5
-7.083817479584765,10.0,5.0,5
-7.083817479584765,10.0,10.0,5
-7.083817479584765,10.0,15.0,5
-7.083817479584765,10.0,20.0,6
-7.083817479584765,10.0,25.0,6
-7.083817479584765,10.0,30.0,6
-7.083817479584765,10.0,35.0,7
-7.083817479584765,10.0,40.0,7
-7.083817479584765,10.0,45.0,7
-7.083817479584765,10.0,50.0,7
-7.083817479584765,10.0,55.0,8
-7.083817479584765,10.0,60.0,8
-7.083817479584765,10.0,65.0,8
-7.083817479584765,10.0,70.0,8
-6.883817479584765,0.0,0.0,3
-6.883817479584765,0.0,5.0,3
-6.883817479584765,0.0,10.0,3
-6.883817479584765,0.0,15.0,3
-6.883817479584765,0.0,20.0,4
-6.883817479584765,0.0,25.0,4
-6.883817479584765,0.0,30.0,4
-6.883817479584765,0.0,35.0,5
-6.883817479584765,0.0,40.0,5
-6.883817479584765,0.0,45.0,5
-6.883817479584765,0.0,50.0,6
-6.883817479584765,0.0,55.0,6
-6.883817479584765,0.0,60.0,6
-6.883817479584765,0.0,65.0,7
-6.883817479584765,0.0,70.0,7
-6.883817479584765,1.0,0.0,2
-6.883817479584765,1.0,5.0,2
-6.883817479584765,1.0,10.0,2
-6.883817479584765,1.0,15.0,3
-6.883817479584765,1.0,20.0,4
-6.883817479584765,1.0,25.0,4
-6.883817479584765,1.0,30.0,5
-6.883817479584765,1.0,35.0,5
-6.883817479584765,1.0,40.0,4
-6.883817479584765,1.0,45.0,4
-6.883817479584765,1.0,50.0,4
-6.883817479584765,1.0,55.0,4
-6.883817479584765,1.0,60.0,4
-6.883817479584765,1.0,65.0,5
-6.883817479584765,1.0,70.0,7
-6.883817479584765,2.0,0.0,2
-6.883817479584765,2.0,5.0,2
-6.883817479584765,2.0,10.0,3
-6.883817479584765,2.0,15.0,3
-6.883817479584765,2.0,20.0,4
-6.883817479584765,2.0,25.0,4
-6.883817479584765,2.0,30.0,5
-6.883817479584765,2.0,35.0,5
-6.883817479584765,2.0,40.0,4
-6.883817479584765,2.0,45.0,4
-6.883817479584765,2.0,50.0,3
-6.883817479584765,2.0,55.0,3
-6.883817479584765,2.0,60.0,3
-6.883817479584765,2.0,65.0,4
-6.883817479584765,2.0,70.0,6
-6.883817479584765,3.0,0.0,3
-6.883817479584765,3.0,5.0,3
-6.883817479584765,3.0,10.0,3
-6.883817479584765,3.0,15.0,4
-6.883817479584765,3.0,20.0,4
-6.883817479584765,3.0,25.0,5
-6.883817479584765,3.0,30.0,5
-6.883817479584765,3.0,35.0,5
-6.883817479584765,3.0,40.0,5
-6.883817479584765,3.0,45.0,4
-6.883817479584765,3.0,50.0,4
-6.883817479584765,3.0,55.0,4
-6.883817479584765,3.0,60.0,4
-6.883817479584765,3.0,65.0,5
-6.883817479584765,3.0,70.0,6
-6.883817479584765,4.0,0.0,3
-6.883817479584765,4.0,5.0,4
-6.883817479584765,4.0,10.0,4
-6.883817479584765,4.0,15.0,4
-6.883817479584765,4.0,20.0,5
-6.883817479584765,4.0,25.0,5
-6.883817479584765,4.0,30.0,5
-6.883817479584765,4.0,35.0,5
-6.883817479584765,4.0,40.0,5
-6.883817479584765,4.0,45.0,5
-6.883817479584765,4.0,50.0,5
-6.883817479584765,4.0,55.0,5
-6.883817479584765,4.0,60.0,5
-6.883817479584765,4.0,65.0,6
-6.883817479584765,4.0,70.0,6
-6.883817479584765,5.0,0.0,4
-6.883817479584765,5.0,5.0,5
-6.883817479584765,5.0,10.0,5
-6.883817479584765,5.0,15.0,5
-6.883817479584765,5.0,20.0,5
-6.883817479584765,5.0,25.0,5
-6.883817479584765,5.0,30.0,5
-6.883817479584765,5.0,35.0,5
-6.883817479584765,5.0,40.0,5
-6.883817479584765,5.0,45.0,5
-6.883817479584765,5.0,50.0,6
-6.883817479584765,5.0,55.0,6
-6.883817479584765,5.0,60.0,6
-6.883817479584765,5.0,65.0,6
-6.883817479584765,5.0,70.0,6
-6.883817479584765,6.0,0.0,4
-6.883817479584765,6.0,5.0,5
-6.883817479584765,6.0,10.0,5
-6.883817479584765,6.0,15.0,5
-6.883817479584765,6.0,20.0,5
-6.883817479584765,6.0,25.0,5
-6.883817479584765,6.0,30.0,5
-6.883817479584765,6.0,35.0,5
-6.883817479584765,6.0,40.0,5
-6.883817479584765,6.0,45.0,6
-6.883817479584765,6.0,50.0,6
-6.883817479584765,6.0,55.0,7
-6.883817479584765,6.0,60.0,7
-6.883817479584765,6.0,65.0,7
-6.883817479584765,6.0,70.0,6
-6.883817479584765,7.0,0.0,5
-6.883817479584765,7.0,5.0,5
-6.883817479584765,7.0,10.0,6
-6.883817479584765,7.0,15.0,6
-6.883817479584765,7.0,20.0,5
-6.883817479584765,7.0,25.0,5
-6.883817479584765,7.0,30.0,5
-6.883817479584765,7.0,35.0,5
-6.883817479584765,7.0,40.0,6
-6.883817479584765,7.0,45.0,6
-6.883817479584765,7.0,50.0,7
-6.883817479584765,7.0,55.0,7
-6.883817479584765,7.0,60.0,8
-6.883817479584765,7.0,65.0,8
-6.883817479584765,7.0,70.0,7
-6.883817479584765,8.0,0.0,5
-6.883817479584765,8.0,5.0,5
-6.883817479584765,8.0,10.0,6
-6.883817479584765,8.0,15.0,6
-6.883817479584765,8.0,20.0,5
-6.883817479584765,8.0,25.0,5
-6.883817479584765,8.0,30.0,6
-6.883817479584765,8.0,35.0,6
-6.883817479584765,8.0,40.0,6
-6.883817479584765,8.0,45.0,6
-6.883817479584765,8.0,50.0,7
-6.883817479584765,8.0,55.0,7
-6.883817479584765,8.0,60.0,8
-6.883817479584765,8.0,65.0,8
-6.883817479584765,8.0,70.0,7
-6.883817479584765,9.0,0.0,5
-6.883817479584765,9.0,5.0,5
-6.883817479584765,9.0,10.0,5
-6.883817479584765,9.0,15.0,5
